card_id,user_id,card_type,issue_date
1,413,credit,2022-07-06
2,355,credit,2022-08-09
3,121,credit,2022-01-01
4,325,credit,2022-04-16
5,75,debit,2021-01-28
6,258,credit,2022-07-07
7,9,debit,2022-08-28
8,277,debit,2022-08-29
9,473,debit,2022-03-27
10,367,debit,2021-03-16
11,17,debit,2020-03-11
12,248,debit,2021-02-01
13,487,debit,2020-02-23
14,204,debit,2021-04-13
15,48,credit,2020-05-17
16,406,debit,2020-09-26
17,41,credit,2020-07-22
18,235,debit,2020-03-27
19,363,debit,2022-04-30
20,150,credit,2021-12-25
21,498,credit,2021-10-20
22,280,debit,2021-02-02
23,465,credit,2020-10-01
24,313,credit,2022-05-29
25,74,credit,2022-02-23
26,176,debit,2021-08-15
27,103,debit,2021-09-25
28,206,credit,2020-03-04
29,262,debit,2022-03-16
30,450,debit,2021-06-30
31,62,debit,2020-05-10
32,96,credit,2022-05-14
33,4,credit,2020-04-28
34,158,credit,2020-10-27
35,6,credit,2020-03-21
36,335,debit,2021-05-13
37,170,credit,2021-07-17
38,22,debit,2020-05-02
39,489,debit,2020-06-23
40,259,credit,2022-01-18
41,17,credit,2020-10-02
42,430,credit,2021-02-21
43,180,credit,2021-09-29
44,228,debit,2022-04-26
45,16,credit,2021-03-03
46,446,debit,2020-12-19
47,242,debit,2021-11-23
48,354,credit,2021-07-20
49,484,credit,2021-11-13
50,145,credit,2020-10-11
51,247,credit,2022-08-24
52,293,credit,2021-04-18
53,193,credit,2020-03-23
54,371,debit,2022-09-16
55,256,credit,2021-10-23
56,279,debit,2021-11-25
57,416,credit,2022-07-18
58,73,debit,2020-08-02
59,173,credit,2021-12-19
60,345,credit,2022-07-05
61,133,credit,2021-08-01
62,448,credit,2021-05-28
63,206,credit,2020-10-31
64,466,debit,2021-09-24
65,102,credit,2020-04-26
66,455,debit,2021-01-11
67,266,debit,2020-01-03
68,210,credit,2021-09-18
69,197,debit,2020-12-22
70,394,debit,2021-01-24
71,302,debit,2022-01-15
72,57,credit,2021-12-09
73,404,credit,2021-07-16
74,317,credit,2020-03-03
75,375,credit,2022-05-27
76,370,credit,2022-02-02
77,426,debit,2020-11-28
78,15,credit,2022-02-25
79,367,credit,2021-08-08
80,394,debit,2020-08-19
81,335,credit,2020-02-16
82,83,debit,2021-08-08
83,258,debit,2020-04-22
84,227,credit,2021-02-03
85,237,credit,2022-06-11
86,325,debit,2021-02-17
87,96,credit,2020-01-12
88,294,credit,2022-07-04
89,61,debit,2022-05-07
90,445,credit,2021-01-25
91,473,credit,2020-09-06
92,147,credit,2022-05-11
93,192,credit,2021-03-13
94,262,debit,2020-05-27
95,120,debit,2021-09-09
